avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctMarriedHouseholds,BirthRate,TARGET_deathRate
1397,469,489.8,61898,260131,11.2,499.7482038,39.3,36.9,41.7,2.54,52.5,11.5,39.5,42.1,6.9,23.2,19.6,51.9,8,75.1,48.36990715,41.6,32.9,14,52.85607588,6.118831029,164.9
173,70,411.6,48127,43269,18.6,23.11123437,33,32.2,33.7,2.34,44.5,6.1,22.4,64,7.5,26,22.7,55.9,7.8,70.2,53.8,43.6,31.1,15.3,45.37250044,4.333095578,161.3
102,50,349.7,49348,21026,14.6,47.56016361,45,44,45.8,2.62,54.2,24,36.6,40.99102564,9.5,29,16,45.9,7,63.7,43.5,34.9,42.1,21.1,54.44486837,3.729487817,174.7
427,202,430.4,44243,75882,17.1,342.6372526,42.8,42.2,43.4,2.52,52.7,20.2,41.2,36.1,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35,45.3,25,51.02151448,4.603840773,194.8
57,26,350.1,49955,10321,12.5,0,48.3,47.8,48.9,2.34,57.8,14.9,43,40,2,33.4,15,48.2,4.8,61.6,43.9,35.1,44,22.7,54.02745995,6.796657382,144.4
428,152,505.4,52313,61023,15.6,180.259902,45.4,43.5,48,2.58,50.4,29.9,35.1,40.99102564,4.5,30.4,11.9,44.1,12.9,60,38.8,32.6,43.2,20.2,51.22035959,4.964476021,176
250,97,461.8,37782,41516,23.2,0,42.6,42.2,43.5,2.42,54.1,26.1,41.4,40.99102564,5.8,29.8,11.9,51.8,8.9,49.5,35,28.3,46.4,28.7,51.01389975,4.204317269,175.9
146,71,404,40189,20848,17.8,0,51.7,50.8,52.5,2.24,52.7,27.3,33.9,36.5,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,48.96703297,5.889178996,183.6
88,36,459.4,42579,13088,22.3,0,49.3,48.4,49.8,2.38,55.9,34.7,39.4,40.99102564,1.4,32.2,12,39.5,10.3,55.5,37.8,29.9,48.1,26.6,53.44699778,5.587583149,190.5
4025,1380,510.9,60397,843954,13.1,427.7484318,35.8,34.7,37,2.65,50,15.6,36.3,40.99102564,7.1,28.8,16.2,56.6,9.2,69.9,48.36990715,44.4,31.4,16.5,50.06357342,5.533430211,177.8
113,36,413.3,54721,16252,12.7,0,54.4,54,54.6,2.04,56.8,17.7,32.4,40.99102564,5.2,17.2,26.2,54.6,5.9,67.2,48.36990715,27.9,41.6,18.3,50.0389206,4.586129754,121.4
740,269,499.3,51395,121846,15.7,837.1222691,41,40,42.2,2.56,53.6,25.5,33.8,37.6,3.1,26.7,15.9,53.94626661,8.2,64.4,48.36990715,38,38.1,20.2,52.93732685,5.818153266,172.7
55,26,398.9,52673,11339,12.6,0,45.2,44.9,45.5,2.49,54.4,20,43.8,40.99102564,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,52.94771969,4.805591962,188.3
3438,1118,493.4,71890,772501,9.9,138.5111476,37.6,36.6,38.7,2.68,52.1,15.4,33.3,40.99102564,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,52.72049671,4.729251068,165.3
2265,901,440.7,50083,490945,16.3,462.3735856,37.2,35.7,38.7,2.45,49.4,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,48.18837711,5.355835918,171
251,106,423.8,43823,43791,19.3,0,46.2,45.6,46.8,2.44,57.2,25.1,35.3,40.99102564,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,55.21239889,3.631082062,174.2
1390,483,495.9,61653,269536,11.9,207.7644545,38.5,37.1,39.9,2.52,52.4,14.8,31.7,46.2,7.4,22.7,20.3,56.5,8.5,74.5,55.4,43.5,30.7,13.7,50.87449211,5.180155167,169.9
32,12,463.2,51022,4042,13.9,0,52.1,51.5,53.1,2.31,53.5,37.2,20.8,37.8,4.2,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,53.37995338,0.535475234,153.8
305,120,442.5,49819,60338,15.7,464.0525042,36.9,35.5,39.1,2.5,46.5,13.7,29.2,40.99102564,5.6,22.6,16.4,54.5,6.4,65.7,47.6,40,38,18.8,49.3270649,4.138710893,162.8
1081,367,490.9,53733,212284,15.7,249.6655424,36.5,35.6,37.5,2.53,47.5,9.4,22.1,40.99102564,7.7,23,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,48.06875024,4.4729858,163.3
